timestamp,lat,lon,alt,alt_ellipsoid,delta_alt,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
202786983,-33.92489782809802,18.86638565486441,130.11699,159.1574,-0.0,0.97995913,1.6878337,0.0,2,0,0,0
203787002,-33.92489239426513,18.866385214243014,130.13449,159.23114,-0.0,0.97990525,1.6874007,0.0,2,0,0,0
204777020,-33.92488069771616,18.8663840655736,130.3132,159.45374,-0.0,0.97975886,1.6877509,0.0,2,0,0,0
205777039,-33.92486716326024,18.86638337541875,130.40526,159.54767,-0.0,0.97972697,1.687327,0.0,2,0,0,0
206787057,-33.924853806780376,18.866383129071053,130.3321,159.4376,-0.0,0.9799393,1.688015,0.0,2,0,0,0
207777077,-33.924842452640966,18.866383175804934,130.2472,159.29936,-0.0,0.9798887,1.6874173,0.0,2,0,0,0
208777130,-33.924831384745396,18.866383622536084,130.27075,159.2576,-0.0,0.9799744,1.6879393,0.0,2,0,0,0
209787115,-33.924820442128365,18.866383666970325,130.16296,159.06049,-0.0,0.98029494,1.6876853,0.0,2,0,0,0
210787135,-33.92480905019188,18.866383720603448,130.12886,158.93234,-0.0,0.98059225,1.6872594,0.0,2,0,0,0
211777153,-33.924798484241954,18.866383694266545,130.09712,158.80838,-0.0,0.9805786,1.6876063,0.0,2,0,0,0
212777173,-33.924787607664854,18.86638340082903,130.10869,158.72644,-0.0,0.9808038,1.6871802,0.0,2,0,0,0
213787193,-33.92477701166266,18.866383031715955,130.14264,158.67815,-0.0,0.9814649,1.687865,0.0,2,0,0,0
214777214,-33.92476554673928,18.86638316367608,130.13467,158.59387,-0.0,0.981671,1.6872677,0.0,2,0,0,0
215777234,-33.92475394176007,18.866383198425066,130.06845,158.4674,-0.0,0.9815516,1.6877807,0.0,2,0,0,0
216787255,-33.924742086138274,18.866383382690756,130.0119,158.3792,-0.0,0.9815006,1.6875206,0.0,2,0,0,0
217787280,-33.9247311463516,18.86638322291986,129.9509,158.31815,-0.0,0.98118544,1.6870973,0.0,2,0,0,0
218777295,-33.924720799147906,18.866382991582185,130.0558,158.45625,-0.0,0.9806526,1.6874443,0.0,2,0,0,0
219777316,-33.92471048110463,18.866382840984993,130.13766,158.57335,-0.0,0.980631,1.6879582,0.0,2,0,0,0
220787337,-33.92469949981562,18.86638317116574,130.19427,158.65465,-0.0,0.98092514,1.687694,0.0,2,0,0,0
221777358,-33.924688350785694,18.866382875878326,130.24556,158.7197,-0.0,0.98077774,1.687101,0.0,2,0,0,0
222777381,-33.92467680189759,18.866382493349004,130.20667,158.69174,-0.0,0.9809987,1.687617,0.0,2,0,0,0
223777402,-33.92466563519997,18.866381932289865,130.1238,158.62537,-0.0,0.9808934,1.6871864,0.0,2,0,0,0
224787423,-33.92465514312042,18.866381552236806,130.09052,158.60506,-0.0,0.9808021,1.6878686,0.0,2,0,0,0
225777445,-33.92465647710761,18.866381240059177,130.00137,158.53096,-0.0,0.9802737,1.6872714,0.0,2,0,0,0
226777521,-33.92466743889334,18.86638122403088,130.13368,158.69092,-0.0,0.9802173,1.6877841,0.0,2,0,0,0
227787489,-33.924681285350005,18.866379956445424,130.28755,158.84857,-0.0,0.9807789,1.687526,0.0,2,0,0,0
228777511,-33.92469452664141,18.866379930722825,130.32576,158.86813,-0.0,0.98099977,1.6878728,0.0,2,0,0,0
229777531,-33.92470699193936,18.866379642261467,130.26688,158.7663,-0.0,0.98114896,1.687445,0.0,2,0,0,0
230777552,-33.924718553281046,18.866378970268393,130.22406,158.66502,-0.0,0.9811241,1.6870257,0.0,2,0,0,0
231787572,-33.92472991394765,18.866377687605457,130.3063,158.6806,-0.0,0.9813383,1.6877123,0.0,2,0,0,0
232777592,-33.924741666221394,18.86637758105608,130.25784,158.55334,-0.0,0.981111,1.6871171,0.0,2,0,0,0
233777612,-33.924753204509145,18.866376979823386,130.1712,158.40332,-0.0,0.98094106,1.6876291,0.0,2,0,0,0
234787641,-33.92476517942308,18.866376070282882,129.99214,158.17784,-0.0,0.9809722,1.6873733,0.0,2,0,0,0
235777649,-33.924776853564374,18.866374721046732,130.03362,158.18701,-0.0,0.9806255,1.6877257,0.0,2,0,0,0
236777667,-33.924787573473246,18.866373321222333,129.94145,158.05945,-0.0,0.9804512,1.6873003,0.0,2,0,0,0
237777685,-33.92479715214527,18.86637276794747,129.98367,158.07301,-0.0,0.98048675,1.6878155,0.0,2,0,0,0
